question,answer
лист 16 1.5 3.0,eydudW1fbWF0JzogJzE2Nzk3JywgJ25hbWVfbWF0JzogJ9Cb0LXQvdGC0LAg0YUv0LogMS41IDI2MSAwOCDQn9ChL9Ch0J8nLCAndHJ1ZV9laSc6ICfQqNCiJywgJ3RydWVfdmFsdWUnOiAnNS4wMDAnfQ==
лист 6 1.5 3.0,eydudW1fbWF0JzogJzE4MjYwJywgJ25hbWVfbWF0JzogJ9Cb0LXQvdGC0LAg0L/QvtC70LjQvNC10YAgMC4zNSAyNzAg0J/QrSDQkiDQn9CbIFJBTCAzMDA1JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzIuMDAwJ30=
уголок 40 40 18 п,eydudW1fbWF0JzogJzg4MDAnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQsy/QuiA1Ljg1IDQ1NC44INCh0KIgMyDQn9ChIDUv0KHQnyA1JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzIuMDAwJ30=
лист оцинкованнный 0.8,eydudW1fbWF0JzogJzIwMzE1JywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCe0KYgMC44IDEuMjUg0JwgMi41INCcIFpOIDE0MCDQndCQ0JfQnSAwMiAxNDkxOC0nLCAndHJ1ZV9laSc6ICfQqNCiJywgJ3RydWVfdmFsdWUnOiAnMTIuMDAwJ30=
планка у нас есть . но размер у нее другой . добавила 95 120 у нас ветровая такого размера в счете,eydudW1fbWF0JzogJzc0ODQ2JywgJ25hbWVfbWF0JzogJ9Cf0LvQsNC90LrQsCDQstC10YLRgNC+0LLQvtC5INC00L7RgdC60LggOTUgMTIwIDE1IDAuNSAzINCcINCh0KIg0J/QrSDQkiDQnycsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
сталь арматурная 8 а 500 с требуется к 06.03.2024 id позиции 7752285,eydudW1fbWF0JzogJzk1Njc1JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgOCAxMS43INCcINCQIDUwMCDQoSAzNDAyOC0xNicsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnOS4wMDAnfQ==
сталь арматурная 12 а 500 с требуется к 06.03.2024 id позиции 7752286,eydudW1fbWF0JzogJzk1NjY0JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTIgMTEuNyDQnCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzExLjAwMCd9
балка 45 б 1,eydudW1fbWF0JzogJzEwOTUnLCAnbmFtZV9tYXQnOiAn0JDRgNC80LDRgtGD0YDQsCDRgtC10YDQvCAxMiA2LjU1INCcINCQ0KIgODAwIDEwODg0LTk0JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzUuMDAwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
уголок 50 50 5 12 .,eydudW1fbWF0JzogJzg4ODAnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQsy/QuiAxLjc1IDE0My41INCh0KIgMyDQn9ChIDUv0KHQnyA1JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzYuMDAwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
полоса 60 6 6 .,eydudW1fbWF0JzogJzEwOTU1NScsICduYW1lX21hdCc6ICfQn9C+0LvQvtGB0LAgNiA2MCAwOSDQkyAyINChIDEwMycsICd0cnVlX2VpJzogJycsICd0cnVlX3ZhbHVlJzogJzUuMDAwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
арматура а 500 с 10 15.03 a id позиции 310,eydudW1fbWF0JzogJzk1NjYzJywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTAgMTEuNyDQnCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzExLjAwMCcsICdzcGVjX21hdCc6ICdGYWxzZSd9
арматура а 500 с 12 15.03 a id позиции 311,eydudW1fbWF0JzogJzk1NjY0JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTIgMTEuNyDQnCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzcuMzAwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
арматура а 500 с 25 15.03 a id позиции 312,eydudW1fbWF0JzogJzk1NjgzJywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMjUgMTIg0Jwg0JAgNTAwINChIDM0MDI4LTE2JywgJ3RydWVfZWknOiAn0KInLCAndHJ1ZV92YWx1ZSc6ICcyLjAwMCcsICdzcGVjX21hdCc6ICdGYWxzZSd9
полоса стальная шириной 40 толщиной 4,eydudW1fbWF0JzogJzUxNTcnLCAnbmFtZV9tYXQnOiAn0JHQsNC70LrQsCDQndCb0JMgNDUg0KggMSAxMiDQnCDQoSAzNTUtMyA1NzgzNycsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMC4xODcnLCAnc3BlY19tYXQnOiAnRmFsc2UnfQ==
сетка кладочная вр 1 ф 3 ячейка 50 50 1.5 кв доставка и разгрузка манипуляторами обязателен комплект документов о качестве id позиции 9584489,eydudW1fbWF0JzogJzExMDM5MycsICduYW1lX21hdCc6ICfQodC10YLQutCwINCw0YDQvNCw0YLRg9GA0L3QsNGPICjQvCAyKSAzINCS0KAgMSA1MCA1MCAwLjUxINCcIDEuNSDQnCcsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCcsICdzcGVjX21hdCc6ICdGYWxzZSd9
арматура ф 8 а 500 длина прута 6.0 доставка и разгрузка манипуляторами обязателен комплект документов о качестве a id позиции 9584490,eydudW1fbWF0JzogJzk1Njk3JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgOCA2INCcINCQIDUwMCDQoSAzNDAyOC0xNicsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICcxNTAwLjAwMCcsICdzcGVjX21hdCc6ICdGYWxzZSd9
арматура ф 12 аiii длина прута 6.0 доставка и разгрузка манипуляторами обязателен комплект документов о качестве a id позиции 9584491,eydudW1fbWF0JzogJzE3NycsICduYW1lX21hdCc6ICfQmtCS0JDQlNCg0JDQoicsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICcxNTAwLjAwMCcsICdzcGVjX21hdCc6ICdGYWxzZSd9
арматура ф 16 аiii длина прута 6.0 доставка и разгрузка манипуляторами обязателен комплект документов о качестве a id позиции 9584492,eydudW1fbWF0JzogJzI5MycsICduYW1lX21hdCc6ICfQkNGA0LzQsNGC0YPRgNCwIDE2IDExLjcg0Jwg0JAtSUlJIDI1INCTIDIg0KEgNTc4MS04MicsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICczMDAuMDAwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
уголок 50 50 5 длина прута 6.0 доставка и разгрузка манипуляторами обязателен комплект документов о качестве id позиции 9584493,eydudW1fbWF0JzogJzg4ODInLCAnbmFtZV9tYXQnOiAn0JvQuNGB0YIg0J3Qm9CTIDE2IDEuOCDQnCA2LjUg0Jwg0KHQoCAwOSDQkyAyINChIDE5MjgxJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzMwMC4wMDAnLCAnc3BlY19tYXQnOiAnRmFsc2UnfQ==
уголок 100 100 10 длина прута 6.0 доставка и разгрузка манипуляторами обязателен комплект документов о качестве id позиции 9584494,eydudW1fbWF0JzogJzgzNTQnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgOTUg0J3QldCc0JXQoCA2NSDQkycsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICc3MDAuMDAwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
полоса 50 5 длина прута 6.0 доставка и разгрузка манипуляторами обязателен комплект документов о качестве id позиции 9584495,eydudW1fbWF0JzogJzUxODAnLCAnbmFtZV9tYXQnOiAn0JvQmNCh0KIg0KbQktCV0KLQndCe0JknLCAndHJ1ZV9laSc6ICfQmtCTJywgJ3RydWVfdmFsdWUnOiAnMTAwLjAwMCcsICdzcGVjX21hdCc6ICdGYWxzZSd9
арматура ф 12 а 500 длина прута 6.0 доставка и разгрузка манипуляторами обязателен комплект документов о качестве a id позиции 9584510,eydudW1fbWF0JzogJzk1NjY0JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTIgMTEuNyDQnCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQmtCTJywgJ3RydWVfdmFsdWUnOiAnMjAwMC4wMDAnLCAnc3BlY19tYXQnOiAnRmFsc2UnfQ==
швеллер 20 у,eydudW1fbWF0JzogJzU5NjYnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDRhS/QuiAxLjAgOTg1IDA4INCf0KEv0KHQnycsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMTcuMDAwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
швеллер 6.5 у,eydudW1fbWF0JzogJzk1MjgyJywgJ25hbWVfbWF0JzogJ9Co0LLQtdC70LvQtdGAIDYuNSDQoyAxMiDQnCDQodCiIDMg0J/QoS/QodCfIDgyNDAnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzExLjAwMCcsICdzcGVjX21hdCc6ICdGYWxzZSd9
арматура а 500 с 8 a id позиции 899,eydudW1fbWF0JzogJzk1Njc1JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgOCAxMS43INCcINCQIDUwMCDQoSAzNDAyOC0xNicsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMS43OTAnLCAnc3BlY19tYXQnOiAnRmFsc2UnfQ==
арматура а 500 с 10 a id позиции 900,eydudW1fbWF0JzogJzk1NjYzJywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTAgMTEuNyDQnCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzYuNTIwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
арматура а 500 с 12 a id позиции 901,eydudW1fbWF0JzogJzk1NjY0JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTIgMTEuNyDQnCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzEyLjAwMCcsICdzcGVjX21hdCc6ICdGYWxzZSd9
арматура а 500 с 16 a id позиции 902,eydudW1fbWF0JzogJzk1NjY2JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTYgMTEuNyDQnCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzAuNjkwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
балка 30 к 1 ст 3 по 12,eydudW1fbWF0JzogJzEyOTknLCAnbmFtZV9tYXQnOiAn0JHQsNC70LrQsCDQndCb0JMgMzAg0JogMSAxMiDQnCAwOSDQkyAyINChIDU3ODM3JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzguMDAwJywgJ3NwZWNfbWF0JzogJ0ZhbHNlJ30=
швеллер гнутый 200 80 4 ст 3 336,eydudW1fbWF0JzogJzY0OTYnLCAnbmFtZV9tYXQnOiAn0K3Qu9C10LrRgtGA0L7QtNGLIDUg0J7Ql9ChLTQg0JjQm9Cs0JzQldCd0JjQoicsICd0cnVlX2VpJzogJ9CcJywgJ3RydWVfdmFsdWUnOiAnMzM2LjAwMCcsICdzcGVjX21hdCc6ICdGYWxzZSd9
швеллер гнутый 200 80 5 ст 3 48,eydudW1fbWF0JzogJzY0OTgnLCAnbmFtZV9tYXQnOiAn0K3Qu9C10LrRgtGA0L7QtNGLIDUg0J7Qmi00NiDQoNCj0KLQmNCbJywgJ3RydWVfZWknOiAn0JwnLCAndHJ1ZV92YWx1ZSc6ICc0OC4wMDAnLCAnc3BlY19tYXQnOiAnRmFsc2UnfQ==
лист плоский оц 01 бц 0.7,eydudW1fbWF0JzogJzIwMjE2JywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCe0KYgMC43IDEuMjUg0JwgMi41INCcIFpOIDEyMCAwOCDQn9ChL9Ch0J8gMTQ5MTgnLCAndHJ1ZV9laSc6ICfQqNCiJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnLCAnc3BlY19tYXQnOiAnRmFsc2UnfQ==
арматура ф 16 а 500 с 12,eydudW1fbWF0JzogJzk1Njc5JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTYgMTIg0Jwg0JAgNTAwINChIDM0MDI4LTE2JywgJ3RydWVfZWknOiAn0KInLCAndHJ1ZV92YWx1ZSc6ICcxMi44NjQnfQ==
арматура ф 12 а 500 с 12,eydudW1fbWF0JzogJzk1Njg4JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgOCAxMiDQnCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzUuMDg4J30=
арматура ф 6 а 240 с 12,eydudW1fbWF0JzogJzExMzI3NScsICduYW1lX21hdCc6ICfQkNGA0LzQsNGC0YPRgNCwIDEyIDYg0Jwg0JAgMjQwIDM0MDI4LTE2JywgJ3RydWVfZWknOiAn0KInLCAndHJ1ZV92YWx1ZSc6ICcwLjMwMCd9
проволока вязальная 1.2,eydudW1fbWF0JzogJzI5MzE3JywgJ25hbWVfbWF0JzogJ9Cf0YDQvtCy0L7Qu9C+0LrQsCDQvdC10YDQtiBEIDEuMicsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICcyMzcuMDAwJ30=
уголок 50 50 5 ст 3,eydudW1fbWF0JzogJzg4OTcnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQntCmIDAuOTUgOTInLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzIuNTAwJ30=
швеллер 8 п ст 3,eydudW1fbWF0JzogJzg1Mjc3JywgJ25hbWVfbWF0JzogJ9Co0LLQtdC70LvQtdGAIDgg0J8gNiDQvCDRgdGCIDMnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzEuNTAwJ30=
швеллер 12 п 12,eydudW1fbWF0JzogJzU4MzEnLCAnbmFtZV9tYXQnOiAnINCf0LvQsNC90LrQsCDRgtC+0YDRhtC10LLQsNGPIDk1IDEyMCAxNSAwLjQgMiDQvCDQn9CtIFJBTCAzMDA1INC60YDQsNGB0L3QvtC1INCy0LjQvdC+INCaLTUwNicsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
швеллер 20 у ст 3 с 255 по 12,eydudW1fbWF0JzogJzU5NTknLCAnbmFtZV9tYXQnOiAnINCS0LXRgtGA0L7QstCw0Y8g0LTQvtGB0LrQsCDQtNC70Y8g0LzRj9Cz0LrQvtC5INC60YDQvtCy0LvQuCAxMDAgMjUgMTMwIDAuNCAyINC8INCf0K0gUkFMIDgwMTcg0YjQvtC60L7Qu9Cw0LQg0JotNTE0JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzI4LjAwMCd9
круг 10 0.8 тонны,eydudW1fbWF0JzogJzE1NTQnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMTAgMTAg0Lwg0YHRgiAzICcsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMC44MDAnfQ==
круг 12 1.5 тонны,eydudW1fbWF0JzogJzE2MTUnLCAnbmFtZV9tYXQnOiAnINCa0L7QvdC10Log0L/Qu9C+0YHQutC40LkgMTUwIDE1MCAwLjM1IDIg0Lwg0J/QrSBSQUwgNzAyNCDRgdC10YDRi9C5INCz0YDQsNGE0LjRgiDQmi01MTInLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzEuNTAwJ30=
круг 14 1.5 тонны,eydudW1fbWF0JzogJzE2NDMnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMTQgMS4xINC8INGB0YIgMycsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMS41MDAnfQ==
круг 18 1.7 тонны,eydudW1fbWF0JzogJzE3NDYnLCAnbmFtZV9tYXQnOiAnINCf0YDQvtGE0L3QsNGB0YLQuNC7INCe0KYg0KEgNDQgMC43IDEuMDQ3INC8IDMg0LwnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzEuNzAwJ30=
арматура 8 4 тонны,eydudW1fbWF0JzogJzM0JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTAgNi40INC8INCQLUlJSSAzNSDQk9ChIDU3ODEtODInLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzQuMDAwJ30=
арматура 6 1.5 тонны,eydudW1fbWF0JzogJzYnLCAnbmFtZV9tYXQnOiAn0JrQoNCj0JNf0J3QldCg0JYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzEuNTAwJ30=
швеллер 10 кол во по 6,eydudW1fbWF0JzogJzU4MTgnLCAnbmFtZV9tYXQnOiAnINCf0LvQsNC90LrQsCDRgdC90LXQs9C+0LfQsNC00LXRgNC20LDRgtC10LvRjyA5NSA2NSAwLjQ1IDIg0Lwg0J/QrSDQsiDQv9C70LXQvdC60LUgUkFMIDUwMDUg0YHQuNCz0L3QsNC70YzQvdC+LdGB0LjQvdC40Lkg0JotNTAzJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzE2LjAwMCd9
лист 3 гк,eydudW1fbWF0JzogJzE3MzU2JywgJ25hbWVfbWF0JzogJ9Cb0LXQvdGC0LAg0L/QvtC70LjQvNC10YAgMC42NSA0NyDQn9CtIFJBTCA5MDAzINGB0LjQs9C90LDQu9GM0L3Qvi3QsdC10LvRi9C5JywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMy4wMDAnfQ==
лист 4,eydudW1fbWF0JzogJzE3NjE4JywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCTL9CaIDQg0KQgMiDRgdGCIDMgMTQ2MzcnLCAndHJ1ZV9laSc6ICcnLCAndHJ1ZV92YWx1ZSc6ICcyLjAwMCd9
труба 50 50 2,eydudW1fbWF0JzogJzgxNzAnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQntCmIDAuNjUgMTM3INC90LXQutC+0L3QtNC40YbQuNGPJywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMTMuMDAwJ30=
лист 0.7,eydudW1fbWF0JzogJzc3NjcwJywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINClL9CaIDAuNyAxLjI1INC8IDIuNSDQvCAwOCDQotCjJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzYuMDAwJ30=
уголок 40 40 3 12 по 6,eydudW1fbWF0JzogJzc4NDIwJywgJ25hbWVfbWF0JzogJ9Cj0LPQvtC70L7QuiA0MCA0MCAzIDEyINC8INGB0YIgMycsICd0cnVlX2VpJzogJ9CcJywgJ3RydWVfdmFsdWUnOiAnNi4wMDAnfQ==
труба проф 40 60 3 24 пог,eydudW1fbWF0JzogJzg4NzEzJywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YQgNjAgNDAgMyDQotCjIDAwNC3QkCcsICd0cnVlX2VpJzogJycsICd0cnVlX3ZhbHVlJzogJzI0LjAwMCd9
балка 18 б 2,eydudW1fbWF0JzogJzg2MDc1JywgJ25hbWVfbWF0JzogJ9CR0LDQu9C60LAgMTgg0JEgMiAxMiDQvCDRgdGCIDMg0L/RgSA1L9GB0L8gNScsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMy4zOTAnfQ==
сталь арматурная 16 а 500 с требуется к 20.02.2024 id позиции 7741446,eydudW1fbWF0JzogJzk1NjY2JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTYgMTEuNyDQvCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzIwLjAwMCd9
уголок стальной 50 50 6 стенку можно больше 6,eydudW1fbWF0JzogJzY5MzQyJywgJ25hbWVfbWF0JzogJ9Cj0LPQvtC70L7QuiDQs9C90YPRgtGL0LkgNTAgNTAgNiDRgdGCIDMg0L/RgSA1L9GB0L8gNScsICd0cnVlX2VpJzogJ9CcJywgJ3RydWVfdmFsdWUnOiAnNi4wMDAnfQ==
труба проф 40 20,eydudW1fbWF0JzogJzgxMjAnLCAnbmFtZV9tYXQnOiAn0JHQsNC70LrQsCDQndCb0JMgMjUg0KggMSAxMiDQvCAwOSDQsyAyINGBLTE1JywgJ3RydWVfZWknOiAn0KInLCAndHJ1ZV92YWx1ZSc6ICczLjAwMCd9
проволока вязальная,eydudW1fbWF0JzogJzk0OTk4JywgJ25hbWVfbWF0JzogJ9Cf0YDQvtCy0L7Qu9C+0LrQsCDQsNC70Y7QvCAyLjAnLCAndHJ1ZV9laSc6ICfQmtCTJywgJ3RydWVfdmFsdWUnOiAnNS4wMDAnfQ==
арматура аiii 12 по 11.7,eydudW1fbWF0JzogJzE3NicsICduYW1lX21hdCc6ICfQmtCg0KPQk1/QndCV0KDQlicsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICc2OC4wMDAnfQ==
швеллер 12 п 12,eydudW1fbWF0JzogJzU4MzEnLCAnbmFtZV9tYXQnOiAnINCf0LvQsNC90LrQsCDRgtC+0YDRhtC10LLQsNGPIDk1IDEyMCAxNSAwLjQgMiDQvCDQn9CtIFJBTCAzMDA1INC60YDQsNGB0L3QvtC1INCy0LjQvdC+INCaLTUwNicsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
уголок 35 35 4 ст 3 16,eydudW1fbWF0JzogJzg3ODgnLCAnbmFtZV9tYXQnOiAn0JvQuNGB0YIg0J3Qm9CTIDE0IDEuNSDQnCA2LjIg0Jwg0KHQoCAwOSDQkyAyINChIDE5MjgxJywgJ3RydWVfZWknOiAn0JwnLCAndHJ1ZV92YWx1ZSc6ICcxNi4wMDAnfQ==
уголок 50 50 5 ст 3 120 если 12 ые то резать попола,eydudW1fbWF0JzogJzg4ODEnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMTQwINCd0JXQnNCV0KAgOSDQpdChJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
лист 3 ст 3 18 2 1.5 6.0 2,eydudW1fbWF0JzogJzc4ODAzJywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCTL9CaIDMgMSDQnCAyINCcINCh0KAgNjAg0KEgMiDQkCDQotCjJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
сетка 20 2.0 5336,eydudW1fbWF0JzogJzExMDUzJywgJ25hbWVfbWF0JzogJ9Cb0LXQvdGC0LAg0J7QpiAyLjAgMzY2JywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzM2LjAwMCd9
профиль 45 б 1 84 .,eydudW1fbWF0JzogJzEwMDUwMicsICduYW1lX21hdCc6ICfQn9GA0L7RhNC40LvRjCA1MCA0MCAyNSAxLjAgMi41INCcJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzEwLjAwMCd9
профиль 25 к 2 108 .,eydudW1fbWF0JzogJzEwMDUwMicsICduYW1lX21hdCc6ICfQn9GA0L7RhNC40LvRjCA1MCA0MCAyNSAxLjAgMi41INCcJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzkuMDAwJ30=
профиль 30 ш 1 12 .,eydudW1fbWF0JzogJzYwMzgyJywgJ25hbWVfbWF0JzogJ9Cf0YDQvtGE0LjQu9GMINGE0LDRgdCw0LTQvdGL0Lkg0JDQoCA2IDEyIDEyIDIwIDAuOCAzINCcJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
профиль 25 ш 1 72 .,eydudW1fbWF0JzogJzEwMDUwMicsICduYW1lX21hdCc6ICfQn9GA0L7RhNC40LvRjCA1MCA0MCAyNSAxLjAgMi41INCcJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzYuMDAwJ30=
профиль 20 б 1 180 .,eydudW1fbWF0JzogJzkzNTE4JywgJ25hbWVfbWF0JzogJ9ChLdC/0YDQvtGE0LjQu9GMIDIwMCA2MCAxNSAzIDEyINCcJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzE1LjAwMCd9
труба 160 160 4 .,eydudW1fbWF0JzogJzk5NDg1JywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YQg0J7QpiAxNjAgMTYwIDQg0J7QpiDQotCjJywgJ3RydWVfZWknOiAn0JwnLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
труба 100 100 4 .,eydudW1fbWF0JzogJzkwMDM1JywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YTQuNC70YzQvdCw0Y8gMTAwIDEwMCA0INCi0KMnLCAndHJ1ZV9laSc6ICfQnCcsICd0cnVlX3ZhbHVlJzogJzcyLjAwMCd9
труба 80 80 4 .,eydudW1fbWF0JzogJzEwMDA0OScsICduYW1lX21hdCc6ICfQotGA0YPQsdCwINCe0KYgODAgNCDQk9Ce0KHQoicsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICcyLjAwMCd9
уголок 80 80 6 .,eydudW1fbWF0JzogJzY5MzkzJywgJ25hbWVfbWF0JzogJ9Cj0LPQvtC70L7QuiDQs9C90YPRgtGL0LkgODAgODAgNiDQodCiIDMg0J/QoSA1L9Ch0J8gNScsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICc1LjAwMCd9
уголок 75 50 5 .,eydudW1fbWF0JzogJzY5NDM0JywgJ25hbWVfbWF0JzogJ9Cj0LPQvtC70L7QuiDQs9C90YPRgtGL0Lkg0L3Qu9CzIDc1IDUwIDUgMDkg0JMgMiDQoScsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICc1LjAwMCd9
